Treatment,Female_OriginalID,Female,Alkaline,Rep,Days_in_TB,Original_Starting,Previous_Starting,Number,Proportion,Proportion_Original,Exp,
11,1N,1,N,1,1,3,3,1,0.3333333333,0.3333333333,Dec.18,
9,1N,1,N,1,1,2,2,0,0,0,Dec.18,
6,1N,1,N,1,1,2,2,2,1,1,Dec.18,
11,2N,2,N,1,1,2,2,0,0,0,Dec.18,
9,2N,2,N,1,1,2,2,2,1,1,Dec.18,
6,2N,2,N,1,1,2,2,2,1,1,Dec.18,
11,1A,1,A,1,1,2,2,0,0,0,Dec.18,
9,1A,1,A,1,1,2,2,0,0,0,Dec.18,
6,1A,1,A,1,1,2,2,2,1,1,Dec.18,
9,4A,3,A,1,1,4,4,0,0,0,Dec.18,
11,1N,1,N,1,2,3,1,0,0,0,Dec.18,
6,1N,1,N,1,2,2,2,1,0.5,0.5,Dec.18,
9,2N,2,N,1,2,2,2,2,1,1,Dec.18,
6,2N,2,N,1,2,2,2,2,1,1,Dec.18,
6,1A,1,A,1,2,2,2,2,1,1,Dec.18,
6,1N,1,N,1,3,2,1,1,1,0.5,Dec.18,
9,2N,2,N,1,3,2,2,2,1,1,Dec.18,
6,2N,2,N,1,3,2,2,2,1,1,Dec.18,
6,1A,1,A,1,3,2,2,2,1,1,Dec.18,
6,1N,1,N,1,4,2,1,1,1,0.5,Dec.18,
9,2N,2,N,1,4,2,2,2,1,1,Dec.18,
6,2N,2,N,1,4,2,2,2,1,1,Dec.18,
6,1A,1,A,1,4,2,2,1,0.5,0.5,Dec.18,
6,1N,1,N,1,5,2,1,1,1,0.5,Dec.18,
9,2N,2,N,1,5,2,2,2,1,1,Dec.18,
6,2N,2,N,1,5,2,2,2,1,1,Dec.18,
6,1A,1,A,1,5,2,1,1,1,0.5,Dec.18,
6,1N,1,N,1,6,2,1,1,1,0.5,Dec.18,
9,2N,2,N,1,6,2,2,2,1,1,Dec.18,
6,2N,2,N,1,6,2,2,0,0,0,Dec.18,
6,1A,1,A,1,6,2,1,1,1,0.5,Dec.18,
6,1N,1,N,1,7,2,1,1,1,0.5,Dec.18,
9,2N,2,N,1,7,2,2,1,0.5,0.5,Dec.18,
6,1A,1,A,1,7,2,1,0,0,0,Dec.18,
6,1N,1,N,1,8,2,1,1,1,0.5,Dec.18,
9,2N,2,N,1,8,2,1,1,1,0.5,Dec.18,
6,1N,1,N,1,9,2,1,1,1,0.5,Dec.18,
9,2N,2,N,1,9,2,1,1,1,0.5,Dec.18,
6,1N,1,N,1,10,2,1,1,1,0.5,Dec.18,
9,2N,2,N,1,10,2,1,0,0,0,Dec.18,
6,1N,1,N,1,11,2,1,1,1,0.5,Dec.18,
6,1N,1,N,1,12,2,1,0,0,0,Dec.18,
6,2N,4,N,1,1,3,3,3,1,1,Jan.6,
9,2N,4,N,1,1,3,3,0,0,0,Jan.6,
11,2N,4,N,1,1,3,3,0,0,0,Jan.6,
6,2N,4,N,1,2,3,3,3,1,1,Jan.6,
6,2N,4,N,1,3,3,3,3,1,1,Jan.6,
6,2N,4,N,1,4,3,3,3,1,1,Jan.6,
6,2N,4,N,1,5,3,3,3,1,1,Jan.6,
6,2N,4,N,1,6,3,3,2,0.6666666667,0.6666666667,Jan.6,
6,2N,4,N,1,7,3,2,0,0,0,Jan.6,
6,2A,4,A,1,1,14,14,14,1,1,Jan.6,
9,2A,4,A,1,1,15,15,15,1,1,Jan.6,
11,2A,4,A,1,1,15,15,4,0.2666666667,0.2666666667,Jan.6,
6,2A,4,A,1,2,14,14,14,1,1,Jan.6,
9,2A,4,A,1,2,15,15,14,0.9333333333,0.9333333333,Jan.6,
11,2A,4,A,1,2,15,4,0,0,0,Jan.6,
6,2A,4,A,1,3,14,14,12,0.8571428571,0.8571428571,Jan.6,
9,2A,4,A,1,3,15,13,12,0.9230769231,0.8,Jan.6,
6,2A,4,A,1,4,14,12,11,0.9166666667,0.7857142857,Jan.6,
9,2A,4,A,1,4,15,12,5,0.4166666667,0.3333333333,Jan.6,
6,2A,4,A,1,5,14,11,10,0.9090909091,0.7142857143,Jan.6,
9,2A,4,A,1,5,15,5,2,0.4,0.1333333333,Jan.6,
6,2A,4,A,1,6,14,10,8,0.8,0.5714285714,Jan.6,
9,2A,4,A,1,6,15,2,1,0.5,0.06666666667,Jan.6,
